country,year,life_expectancy,adult_mortality,infant_deaths,alcohol,percentage_expenditure,hepatitis_b_vaccination,measles,overweight_prevalence,polio_vaccination,total_expenditure,diphtheria_vaccination,hiv_aids,gdp,thinness_5_9_years,income_composition_of_resources,schooling,is_developed
Albania,2009,76.1,4.5217885770490405,0.6931471805599453,5.79,348.0559517,98.0,0,53.5,98.0,5.79,98.0,0.09531017980432487,8.322427294820676,1.6,0.721,12.2,0
Albania,2008,75.3,3.9318256327243257,0.6931471805599453,5.61,36.62206845,99.0,0,52.6,99.0,5.87,99.0,0.09531017980432487,6.083450222776355,1.6,0.713,12.0,0
Albania,2007,75.9,2.302585092994046,0.6931471805599453,5.58,32.24655228,98.0,22,51.7,99.0,6.1,98.0,0.09531017980432487,5.897529758519371,1.7,0.703,11.6,0
Albania,2006,74.2,4.605170185988092,0.6931471805599453,5.31,3.3021542,98.0,68,5.8,97.0,5.86,97.0,0.09531017980432487,3.5871041704908206,1.8,0.696,11.4,0
Albania,2005,73.5,2.772588722239781,0.6931471805599453,5.16,26.99312143,98.0,6,49.9,97.0,6.12,98.0,0.09531017980432487,5.635299940781998,1.8,0.685,10.8,0
Albania,2004,73.0,2.8903717578961645,0.6931471805599453,4.54,221.8428,99.0,7,48.9,98.0,6.38,97.0,0.09531017980432487,7.790525725110208,1.9,0.681,10.9,0
Albania,2003,72.8,2.9444389791664403,0.6931471805599453,4.29,14.71928882,97.0,8,47.9,97.0,6.27,97.0,0.09531017980432487,5.250604795816188,2.0,0.674,10.7,0
Albania,2002,73.3,2.772588722239781,0.6931471805599453,3.73,104.5169157,96.0,16,46.9,98.0,6.3,98.0,0.09531017980432487,7.282515635372728,2.1,0.67,10.7,0
Albania,2001,73.6,2.70805020110221,0.6931471805599453,4.25,96.20557078,96.0,18,46.0,97.0,6.0,97.0,0.09531017980432487,7.19140929218502,2.1,0.662,10.6,0
Albania,2000,72.6,2.4849066497880004,0.6931471805599453,3.66,91.71154052,96.0,662,45.0,97.0,6.26,97.0,0.09531017980432487,7.070544805715177,2.2,0.656,10.7,0
Algeria,2015,75.6,2.995732273553991,3.091042453358316,0.01,54.2373183,95.0,63,59.5,95.0,7.21,95.0,0.09531017980432487,8.3269433897825,5.8,0.743,14.4,0
Algeria,2014,75.4,2.4849066497880004,3.091042453358316,0.01,54.2373183,95.0,0,58.4,95.0,7.21,95.0,0.09531017980432487,6.307828277513971,5.8,0.741,14.4,0
Algeria,2013,75.3,4.727387818712341,3.091042453358316,0.53,544.4507432,95.0,25,57.2,95.0,7.12,95.0,0.09531017980432487,8.607557846977695,5.8,0.737,14.4,0
Algeria,2012,75.1,4.736198448394496,3.091042453358316,0.66,555.9260834,95.0,18,56.1,95.0,6.14,95.0,0.09531017980432487,8.624400619281232,5.8,0.732,14.4,0
Algeria,2011,74.9,4.762173934797756,3.091042453358316,0.56,509.0020405,95.0,112,55.0,95.0,5.29,95.0,0.09531017980432487,8.600293183905098,5.8,0.724,14.0,0
Algeria,2010,74.7,4.787491742782046,3.091042453358316,0.45,430.7175861,95.0,103,53.9,95.0,5.12,95.0,0.09531017980432487,8.403888913011384,5.8,0.714,13.6,0
Algeria,2009,74.4,4.820281565605037,3.044522437723423,0.5,352.0636419,94.0,107,52.8,94.0,5.36,95.0,0.09531017980432487,8.26096617525377,5.9,0.705,13.1,0
Algeria,2008,74.1,4.844187086458591,3.044522437723423,0.46,43.08717334,91.0,217,51.8,92.0,4.2,93.0,0.09531017980432487,6.207089637494888,5.9,0.697,12.6,0
Algeria,2007,73.8,4.867534450455582,3.044522437723423,0.44,320.3239241,9.0,0,5.8,95.0,3.82,95.0,0.09531017980432487,8.277966838134029,5.9,0.69,12.3,0
Algeria,2006,73.4,4.890349128221754,3.044522437723423,0.36,270.2401962,8.0,944,49.8,95.0,3.36,95.0,0.09531017980432487,8.150646221844118,6.0,0.686,12.3,0
Algeria,2005,72.9,4.919980925828125,2.995732273553991,0.5,2.548922758,83.0,2302,48.9,88.0,3.24,88.0,0.09531017980432487,3.4695529212073555,6.0,0.68,12.0,0
Algeria,2004,72.3,2.70805020110221,2.995732273553991,0.45,220.393699,81.0,3289,47.9,86.0,3.54,86.0,0.09531017980432487,7.863259916294093,6.1,0.673,11.7,0
Algeria,2003,71.7,4.990432586778736,3.044522437723423,0.34,25.0185226,81.0,15374,47.0,87.0,3.6,87.0,0.09531017980432487,5.688112201411935,6.1,0.663,11.5,0
Algeria,2002,71.6,4.983606621708336,3.044522437723423,0.36,148.5119843,81.0,5862,46.1,86.0,3.73,86.0,0.09531017980432487,7.481745390959664,6.2,0.653,11.1,0
Algeria,2001,71.4,4.983606621708336,3.044522437723423,0.23,147.9860714,81.0,2686,45.3,89.0,3.84,89.0,0.09531017980432487,7.4581042502953085,6.3,0.644,10.9,0
Algeria,2000,71.3,4.983606621708336,3.091042453358316,0.25,154.4559436,81.0,0,44.4,86.0,3.49,86.0,0.09531017980432487,7.472033307478495,6.4,0.636,10.7,0
Angola,2015,52.4,5.817111159963204,4.204692619390966,8.33,23.965612,64.0,118,23.3,7.0,3.31,64.0,1.0647107369924282,8.215221168362245,8.2,0.531,11.4,0
Angola,2014,51.7,5.855071922202427,4.219507705176107,8.33,23.965612,64.0,11699,22.7,68.0,3.31,64.0,1.0986122886681098,6.17443639241852,8.3,0.527,11.4,0
Angola,2013,51.1,5.87493073085203,4.248495242049359,8.1,35.95857279,77.0,8523,22.1,67.0,4.26,77.0,1.1939224684724346,6.185420008498344,8.5,0.523,11.4,0
Angola,2012,56.0,5.883322388488279,4.290459441148391,8.24,256.1225243,75.0,4458,21.5,75.0,3.3,75.0,1.2809338454620642,8.433648523096771,8.6,0.508,10.3,0
Angola,2011,51.0,5.8916442118257715,4.330733340286331,8.06,239.8913921,72.0,1449,21.0,73.0,3.38,71.0,1.252762968495368,8.366400275651035,8.8,0.495,9.4,0
Angola,2010,49.6,5.902633333401366,4.3694478524670215,7.8,191.6537407,77.0,1190,2.4,81.0,3.39,77.0,1.252762968495368,8.169204645533457,9.0,0.488,9.0,0
Angola,2009,49.1,5.91350300563827,4.406719247264253,7.01,212.9229325,61.0,2807,19.8,63.0,4.37,6.0,1.252762968495368,8.116370744459195,9.2,0.48,8.5,0
Angola,2008,48.7,5.918893854273146,4.442651256490317,7.07,249.9101958,69.0,265,19.3,65.0,3.84,69.0,1.2809338454620642,8.260900964340689,9.4,0.468,8.1,0
Angola,2007,48.2,5.929589143389895,4.477336814478207,6.35,184.8213446,73.0,1014,18.8,75.0,3.38,73.0,1.2809338454620642,7.965489024308915,9.6,0.454,7.7,0
Angola,2006,47.7,5.945420608606575,4.51085950651685,5.84,25.08688824,73.0,765,18.2,36.0,4.54,34.0,1.252762968495368,5.57373130094313,9.7,0.439,7.2,0
Angola,2005,47.4,5.948034989180646,4.532599493153256,5.04,98.19145117,73.0,258,17.7,39.0,4.1,38.0,1.2809338454620642,7.275859015063806,9.9,0.426,6.8,0
Angola,2004,47.1,5.958424693029782,4.553876891600541,3.53,8.8667775,73.0,29,17.2,4.0,4.71,4.0,1.252762968495368,4.961924206800165,1.1,0.415,6.4,0
Angola,2003,46.8,5.963579343618446,4.564348191467836,3.49,35.93349121,73.0,1196,16.8,4.0,4.41,4.0,1.2237754316221157,6.659894195892075,1.3,0.406,5.9,0
Angola,2002,46.5,5.971261839790462,4.574710978503383,2.82,24.037942,73.0,11945,16.3,37.0,3.63,41.0,1.1939224684724346,6.568333097950245,1.5,0.401,5.5,0
Angola,2001,45.7,3.8066624897703196,4.584967478670572,2.58,30.35993647,73.0,9046,15.8,41.0,5.38,38.0,1.1314021114911006,6.267520692735661,1.7,0.391,5.1,0
Angola,2000,45.3,3.8918202981106265,4.584967478670572,1.85,15.88149254,73.0,2219,15.4,3.0,2.79,28.0,1.0986122886681098,6.321302219852404,1.9,0.382,4.6,0
Antigua and Barbuda,2015,76.4,2.6390573296152584,0.0,8.56,2422.999774,99.0,0,47.7,86.0,5.54,99.0,0.18232155679395465,9.515465975066057,3.3,0.784,13.9,0
Antigua and Barbuda,2014,76.2,4.882801922586371,0.0,8.56,2422.999774,99.0,0,47.0,96.0,5.54,99.0,0.18232155679395465,9.46415253044146,3.3,0.782,13.9,0
Antigua and Barbuda,2013,76.1,4.897839799950911,0.0,8.58,1991.430372,99.0,0,46.4,98.0,5.33,99.0,0.18232155679395465,9.411308999779358,3.3,0.781,13.9,0
Antigua and Barbuda,2012,75.9,4.90527477843843,0.0,8.18,2156.229842,98.0,0,45.7,97.0,5.39,98.0,0.18232155679395465,9.438785204236783,3.3,0.778,13.8,0
Antigua and Barbuda,2011,75.7,4.919980925828125,0.0,7.84,1810.875316,99.0,0,45.1,99.0,5.65,99.0,0.09531017980432487,9.386840844921688,3.3,0.782,14.1,0
Antigua and Barbuda,2010,75.6,4.9344739331306915,0.0,7.84,1983.956937,98.0,0,44.4,99.0,5.63,98.0,0.09531017980432487,9.403261895099131,3.3,0.783,14.1,0
Antigua and Barbuda,2009,75.4,2.70805020110221,0.0,7.82,149.3587355,98.0,0,43.8,98.0,4.86,99.0,0.09531017980432487,7.180425424187216,3.3,0.788,14.2,0
Antigua and Barbuda,2008,75.2,4.962844630259907,0.0,8.27,180.7762695,98.0,0,43.2,99.0,4.69,99.0,0.09531017980432487,7.295951623248969,3.3,0.786,14.4,0
Antigua and Barbuda,2007,75.0,4.976733742420574,0.0,8.64,257.9665308,97.0,0,42.6,98.0,4.27,99.0,0.09531017980432487,9.564743353361457,3.3,0.781,14.5,0
Antigua and Barbuda,2006,74.8,4.983606621708336,0.0,8.93,216.3146941,99.0,0,42.0,99.0,4.34,99.0,0.09531017980432487,9.451354785537198,3.4,0.773,14.7,0
Antigua and Barbuda,2005,74.6,4.997212273764115,0.0,8.15,1455.608186,99.0,0,41.4,98.0,4.41,99.0,0.09531017980432487,9.33899203619325,3.4,0.773,14.7,0
Antigua and Barbuda,2004,74.4,5.0106352940962555,0.0,7.28,22.86295206,97.0,0,4.8,97.0,4.21,97.0,0.09531017980432487,7.210698357634711,3.4,0.773,14.7,0
Antigua and Barbuda,2003,74.2,5.0238805208462765,0.0,7.16,1158.065259,99.0,0,4.1,99.0,4.53,99.0,0.09531017980432487,9.184081152798269,3.5,0.773,14.7,0
Antigua and Barbuda,2002,74.0,5.0369526024136295,0.0,7.21,927.4075855,99.0,0,39.5,93.0,4.41,98.0,0.09531017980432487,9.147157353276612,3.5,0.773,14.7,0
Antigua and Barbuda,2001,73.8,5.043425116919247,0.0,7.51,163.7676978,96.0,0,38.9,99.0,4.48,97.0,0.09531017980432487,9.144110198080574,3.5,0.773,14.7,0
Antigua and Barbuda,2000,73.6,5.056245805348308,0.0,7.27,1127.74347,96.0,0,38.2,96.0,4.13,95.0,0.09531017980432487,9.19787922700169,3.6,0.773,14.7,0
Argentina,2015,76.3,4.762173934797756,2.1972245773362196,7.93,847.3717463,94.0,0,62.8,93.0,4.79,94.0,0.09531017980432487,9.508080957548032,0.9,0.826,17.3,0
Argentina,2014,76.2,4.77912349311153,2.1972245773362196,7.93,847.3717463,94.0,1,62.2,92.0,4.79,94.0,0.09531017980432487,9.412975573350558,0.9,0.825,17.3,0
Argentina,2013,76.0,4.787491742782046,2.1972245773362196,8.28,1001.796332,94.0,0,61.6,99.0,4.99,94.0,0.09531017980432487,9.470982879686202,0.9,0.823,17.3,0
Argentina,2012,75.9,2.5649493574615367,2.302585092994046,8.35,1133.558003,91.0,2,61.0,99.0,5.2,91.0,0.09531017980432487,9.47045373583578,0.9,0.822,17.2,0
Argentina,2011,75.7,2.5649493574615367,2.302585092994046,8.11,1504.329462,91.0,3,6.4,93.0,5.89,91.0,0.09531017980432487,9.451558281518993,0.9,0.816,17.1,0
Argentina,2010,75.5,4.804021044733257,2.3978952727983707,8.15,187.610955,94.0,17,59.8,95.0,6.55,94.0,0.09531017980432487,7.152476352123157,0.9,0.802,16.8,0
Argentina,2009,75.6,4.844187086458591,2.3978952727983707,8.33,1398.042623,94.0,3,59.2,97.0,7.63,94.0,0.09531017980432487,9.007289805310181,0.9,0.794,16.5,0
Argentina,2008,75.4,4.844187086458591,2.3978952727983707,8.41,1413.73543,9.0,0,58.6,94.0,6.66,93.0,0.09531017980432487,9.099895762521296,0.9,0.792,16.3,0
Argentina,2007,74.8,4.867534450455582,2.3978952727983707,8.16,1105.659031,85.0,0,58.0,92.0,6.49,91.0,0.09531017980432487,8.881088475449316,0.9,0.788,16.3,0
Argentina,2006,75.2,4.852030263919617,2.4849066497880004,7.75,961.1774676,84.0,0,57.5,92.0,6.68,91.0,0.09531017980432487,8.679271439728321,0.9,0.782,16.1,0
Argentina,2005,74.9,4.852030263919617,2.4849066497880004,7.53,96.16653429,88.0,0,56.9,95.0,6.85,98.0,0.09531017980432487,6.359372860582331,1.0,0.78,16.3,0
Argentina,2004,74.7,2.6390573296152584,2.4849066497880004,7.63,719.3663797,81.0,0,56.3,91.0,6.84,98.0,0.09531017980432487,8.355279807479912,1.0,0.775,16.3,0
Argentina,2003,74.1,4.927253685157205,2.4849066497880004,7.62,57.58467352,73.0,0,55.7,95.0,8.22,96.0,0.09531017980432487,5.812450315081009,1.0,0.77,16.4,0
Argentina,2002,74.1,4.9344739331306915,2.5649493574615367,7.81,470.1869145,66.0,0,55.1,94.0,8.31,93.0,0.09531017980432487,7.855619546430775,1.0,0.776,16.3,0
Argentina,2001,74.0,4.9344739331306915,2.5649493574615367,7.76,123.0128671,66.0,0,54.6,85.0,9.38,83.0,0.09531017980432487,6.577436613844461,1.1,0.771,15.6,0
Argentina,2000,74.1,4.927253685157205,2.5649493574615367,7.68,1349.025282,66.0,6,54.0,88.0,9.21,83.0,0.09531017980432487,8.945107606370296,1.1,0.764,15.0,0
Armenia,2015,74.8,4.77912349311153,0.6931471805599453,3.91,295.6087143,94.0,33,54.9,96.0,4.48,94.0,0.09531017980432487,5.915271106491181,2.2,0.741,12.7,0
Armenia,2014,74.6,2.5649493574615367,0.6931471805599453,3.91,295.6087143,93.0,13,54.1,95.0,4.48,93.0,0.09531017980432487,8.292977153944294,2.1,0.739,12.7,0
Armenia,2013,74.4,4.820281565605037,0.6931471805599453,3.79,279.4290812,95.0,10,53.3,96.0,4.55,95.0,0.09531017980432487,8.254422559772788,2.1,0.736,12.7,0
Armenia,2012,74.4,4.804021044733257,0.6931471805599453,3.89,274.1526986,95.0,0,52.6,96.0,4.48,95.0,0.09531017980432487,8.212255927396892,2.1,0.732,12.7,0
Armenia,2011,73.9,4.859812404361672,0.6931471805599453,4.09,260.9963826,95.0,0,51.9,96.0,3.71,95.0,0.09531017980432487,8.168480221812706,2.1,0.729,12.7,0
Armenia,2010,73.5,4.890349128221754,0.6931471805599453,4.23,224.3212014,94.0,2,51.2,96.0,4.56,94.0,0.09531017980432487,8.076944587489136,2.1,0.72,12.3,0
Armenia,2009,73.3,4.927253685157205,0.6931471805599453,3.96,201.1855461,93.0,0,5.7,94.0,4.55,93.0,0.09531017980432487,8.004643592792524,2.1,0.725,11.9,0
Armenia,2008,73.2,2.70805020110221,0.6931471805599453,3.96,2.8888979,89.0,0,5.1,91.0,3.8,89.0,0.09531017980432487,3.744076904855239,2.1,0.721,12.3,0
Armenia,2007,73.5,4.890349128221754,0.6931471805599453,3.99,44.57219966,85.0,1,49.7,9.0,4.31,88.0,0.09531017980432487,8.051942186538431,2.1,0.707,11.7,0
Armenia,2006,72.9,4.955827057601261,0.6931471805599453,4.01,244.5352767,78.0,137,49.2,87.0,4.58,87.0,0.09531017980432487,7.677538910967633,2.1,0.692,11.2,0
Armenia,2005,73.0,4.927253685157205,0.6931471805599453,4.25,20.21822828,91.0,2281,48.8,92.0,5.25,9.0,0.09531017980432487,7.405348781288232,2.1,0.679,10.9,0
Armenia,2004,73.0,4.890349128221754,0.6931471805599453,3.81,97.74087744,91.0,1783,48.4,93.0,5.5,91.0,0.09531017980432487,7.084194502057882,2.1,0.668,10.9,0
Armenia,2003,72.7,4.90527477843843,0.6931471805599453,3.03,7.341493148,93.0,4,48.1,96.0,5.56,94.0,0.09531017980432487,4.5450608463285,2.1,0.657,10.8,0
Armenia,2002,72.6,4.90527477843843,0.6931471805599453,2.86,57.17810403,91.0,40,47.8,96.0,5.4,94.0,0.09531017980432487,6.664742764396565,2.1,0.645,10.8,0
Armenia,2001,72.6,4.955827057601261,0.6931471805599453,2.86,53.19373012,69.0,69,47.4,97.0,5.94,94.0,0.09531017980432487,6.544537720168012,2.1,0.644,11.1,0
Armenia,2000,72.0,4.962844630259907,0.6931471805599453,2.9,32.75626853,55.0,15,47.1,96.0,6.25,93.0,0.09531017980432487,6.435738020064267,2.2,0.639,11.2,0
Australia,2015,82.8,4.0943445622221,0.6931471805599453,9.71,10769.36305,93.0,74,66.6,93.0,9.42,93.0,0.09531017980432487,10.942975748447434,0.6,0.937,20.4,1
Australia,2014,82.7,1.9459101490553132,0.6931471805599453,9.71,10769.36305,91.0,340,66.1,92.0,9.42,92.0,0.09531017980432487,11.038362517008984,0.6,0.936,20.4,1
Australia,2013,82.5,4.127134385045092,0.6931471805599453,9.87,11734.85381,91.0,158,65.5,91.0,9.36,91.0,0.09531017980432487,11.124219218364104,0.6,0.933,20.3,1
Australia,2012,82.3,4.127134385045092,0.6931471805599453,10.03,11714.99858,91.0,199,65.0,92.0,9.36,92.0,0.09531017980432487,11.12252582223859,0.6,0.93,20.1,1
Australia,2011,82.0,4.1588830833596715,0.6931471805599453,10.3,10986.26527,92.0,190,64.4,92.0,9.2,92.0,0.09531017980432487,11.038851627654447,0.6,0.927,19.8,1
Australia,2010,81.9,4.174387269895637,0.6931471805599453,10.52,8875.786493,92.0,70,63.9,92.0,9.2,92.0,0.09531017980432487,10.85660860438734,0.6,0.927,19.5,1
Australia,2009,81.7,4.204692619390966,0.6931471805599453,10.62,7172.275229,94.0,104,63.4,92.0,9.5,92.0,0.09531017980432487,10.662984089774609,0.6,0.925,19.1,1
Australia,2008,81.3,4.204692619390966,0.6931471805599453,10.76,8547.292357,94.0,65,62.9,92.0,8.78,92.0,0.09531017980432487,10.813069539017334,0.6,0.921,19.1,1
Australia,2007,81.3,4.204692619390966,0.6931471805599453,10.56,872.5986092,94.0,11,62.5,92.0,8.53,92.0,0.09531017980432487,8.515788783697221,0.6,0.918,19.0,1
Australia,2006,81.2,4.204692619390966,0.6931471805599453,10.31,6187.062017,95.0,0,62.0,92.0,8.49,92.0,0.09531017980432487,10.494582179261252,0.6,0.915,20.3,1
Australia,2005,81.0,4.219507705176107,0.6931471805599453,10.3,579.1331637,95.0,10,61.5,92.0,8.45,92.0,0.09531017980432487,8.136727428363427,0.6,0.91,20.3,1
Australia,2004,86.0,4.248495242049359,0.6931471805599453,9.84,588.568371,95.0,70,6.9,92.0,8.57,92.0,0.09531017980432487,8.152883396031644,0.6,0.908,20.7,1
Australia,2003,83.0,4.276666119016055,0.6931471805599453,9.97,3829.550928,95.0,91,6.3,92.0,8.32,93.0,0.09531017980432487,10.063324275707428,0.7,0.905,20.6,1
Australia,2002,79.9,4.30406509320417,0.6931471805599453,9.84,46.3871819,95.0,32,59.6,92.0,8.39,92.0,0.09531017980432487,5.644802272956251,0.7,0.902,20.1,1
Australia,2001,79.9,4.330733340286331,0.6931471805599453,9.53,3064.301144,94.0,141,59.0,91.0,8.18,92.0,0.09531017980432487,9.879135518042451,0.7,0.899,20.5,1
Australia,2000,79.5,4.3694478524670215,0.6931471805599453,10.17,347.18736,94.0,108,58.2,9.0,8.8,9.0,0.09531017980432487,7.682906780455265,0.7,0.897,20.4,1
Austria,2015,81.5,4.189654742026425,0.0,12.32,8350.193523,93.0,309,57.6,93.0,11.21,93.0,0.09531017980432487,10.6843467333419,2.1,0.892,15.9,1
Austria,2014,81.4,4.204692619390966,0.0,12.32,8350.193523,98.0,117,57.1,98.0,11.21,98.0,0.09531017980432487,10.84590674314345,2.0,0.892,15.9,1
Austria,2013,81.1,4.23410650459726,0.0,11.82,90.58501176,95.0,0,56.6,95.0,11.14,95.0,0.09531017980432487,6.320256148737966,2.0,0.887,15.7,1
Austria,2012,88.0,2.0794415416798357,0.0,12.26,7878.372355,92.0,36,56.1,92.0,11.17,92.0,0.09531017980432487,10.785902375095489,2.0,0.884,15.7,1
Austria,2011,88.0,4.30406509320417,0.0,12.04,8272.306757,89.0,68,55.7,89.0,1.94,89.0,0.09531017980432487,10.842082513227824,2.0,0.88,15.7,1
Austria,2010,84.0,4.330733340286331,0.0,12.1,7423.228774,86.0,52,55.2,86.0,11.17,86.0,0.09531017980432487,10.750613162374773,1.9,0.872,15.4,1
Austria,2009,82.0,4.356708826689592,0.0,11.3,8053.557638,83.0,49,54.7,83.0,11.19,83.0,0.09531017980432487,10.771746763808034,1.9,0.87,15.3,1
Austria,2008,84.0,4.343805421853684,0.0,12.0,8329.731655,83.0,448,54.2,83.0,1.6,83.0,0.09531017980432487,10.847147830814054,1.9,0.864,15.1,1
Austria,2007,81.0,2.1972245773362196,0.0,12.5,7453.8644,85.0,20,53.7,85.0,1.4,85.0,0.09531017980432487,10.749090817192405,1.9,0.86,15.2,1
Austria,2006,79.8,4.406719247264253,0.0,12.4,69.92899358,83.0,23,53.2,83.0,1.35,83.0,0.09531017980432487,6.098059922512579,1.9,0.854,15.0,1
Austria,2005,79.4,4.454347296253507,0.0,12.4,5992.588029,86.0,9,52.7,86.0,1.53,86.0,0.09531017980432487,10.55172693428379,1.9,0.848,14.9,1
Austria,2004,79.3,4.465908118654584,0.0,12.1,5316.877456,83.0,15,52.2,83.0,1.56,83.0,0.09531017980432487,10.510380147849137,1.9,0.841,14.7,1
Austria,2003,78.8,4.48863636973214,0.0,12.2,504.4308735,83.0,90,51.7,84.0,1.48,84.0,0.09531017980432487,8.075251477645555,1.9,0.837,14.7,1
Austria,2002,78.7,2.302585092994046,0.0,12.5,3979.057728,81.0,0,51.2,82.0,1.27,83.0,0.09531017980432487,10.179313708539238,1.9,0.847,16.1,1
Austria,2001,78.6,4.532599493153256,0.0,12.4,3582.848308,44.0,0,5.6,83.0,1.12,84.0,0.09531017980432487,10.10605018338659,1.9,0.837,15.5,1
Austria,2000,78.1,4.574710978503383,0.0,13.2,3557.455507,33.0,0,5.1,71.0,1.6,81.0,0.09531017980432487,10.107173728907705,1.9,0.833,15.4,1
Azerbaijan,2015,72.7,4.77912349311153,1.791759469228055,0.01,306.1824313,96.0,0,52.5,98.0,6.4,96.0,0.09531017980432487,4.030939975715361,2.9,0.758,12.7,0
Azerbaijan,2014,72.5,4.787491742782046,1.791759469228055,0.01,306.1824313,94.0,0,51.5,97.0,6.4,94.0,0.09531017980432487,8.97364285121583,2.9,0.752,12.2,0
Azerbaijan,2013,72.2,4.804021044733257,1.791759469228055,2.14,275.6514934,93.0,164,5.6,96.0,5.54,93.0,0.09531017980432487,8.97167154395244,2.8,0.745,11.9,0
Azerbaijan,2012,71.9,4.820281565605037,1.791759469228055,0.01,285.6103912,88.0,0,49.7,92.0,5.37,89.0,0.09531017980432487,8.922303000146385,2.8,0.742,11.8,0
Azerbaijan,2011,71.6,4.836281906951478,1.791759469228055,1.98,263.142699,84.0,0,48.8,91.0,5.1,87.0,0.09531017980432487,8.88054258364633,2.9,0.741,11.7,0
Azerbaijan,2010,71.1,2.6390573296152584,1.791759469228055,1.98,246.5686008,8.0,0,48.0,85.0,5.33,81.0,0.09531017980432487,8.673146446770469,2.9,0.737,11.7,0
